match_key,field,form_value,dynamodb_value,status,note
anjali.reddy6@email.com,Last Name,Reddy,,NOT_IN_DDB,no DynamoDB item for Email
anjali.reddy6@email.com,Email ID,anjali.reddy6@email.com,,NOT_IN_DDB,no DynamoDB item for Email
anjali.reddy6@email.com,Phone Number,9874229725,,NOT_IN_DDB,no DynamoDB item for Email
anjali.reddy6@email.com,Preferred Food,Vegetarian,,NOT_IN_DDB,no DynamoDB item for Email
anjali.reddy6@email.com,T-Shirt Size,XS,,NOT_IN_DDB,no DynamoDB item for Email
anjali.reddy6@email.com,Event Attendance Time,8:00 AM - 12:00 PM,,NOT_IN_DDB,no DynamoDB item for Email
rahul.nair7@email.com,Email,rahul.nair7@email.com,rahul.nair7@email.com,MATCH,
rahul.nair7@email.com,First Name,Rahul,Rahul,MATCH,
rahul.nair7@email.com,Last Name,Nair,Nair,MATCH,
rahul.nair7@email.com,Email ID,rahul.nair7@email.com,rahul.nair7@email.com,MATCH,
rahul.nair7@email.com,Phone Number,9915507238,9915507238,MATCH,
rahul.nair7@email.com,Preferred Food,Vegan,Vegan,MATCH,
rahul.nair7@email.com,T-Shirt Size,S,S,MATCH,
rahul.nair7@email.com,Event Attendance Time,1:00 PM - 4:00 PM,1:00 PM - 4:00 PM,MATCH,
arjun.chopra9@email.com,Email,arjun.chopra9@email.com,arjun.chopra9@email.com,MATCH,
arjun.chopra9@email.com,First Name,Arjun,Arjun,MATCH,
arjun.chopra9@email.com,Last Name,Chopra,Chopra,MATCH,
arjun.chopra9@email.com,Email ID,arjun.chopra9@email.com,arjun.chopra9@email.com,MATCH,
arjun.chopra9@email.com,Phone Number,9839287490,9839287490,MATCH,
arjun.chopra9@email.com,Preferred Food,Vegan,Vegan,MATCH,
arjun.chopra9@email.com,T-Shirt Size,XS,XS,MATCH,
arjun.chopra9@email.com,Event Attendance Time,8:00 AM - 12:00 PM,8:00 AM - 12:00 PM,MATCH,
neha.verma10@email.com,Email,neha.verma10@email.com,neha.verma10@email.com,MATCH,
neha.verma10@email.com,First Name,Neha,Neha,MATCH,
neha.verma10@email.com,Last Name,Verma,Verma,MATCH,
neha.verma10@email.com,Email ID,neha.verma10@email.com,neha.verma10@email.com,MATCH,
neha.verma10@email.com,Phone Number,9983209871,9983209871,MATCH,
neha.verma10@email.com,Preferred Food,Vegetarian,Vegetarian,MATCH,
neha.verma10@email.com,T-Shirt Size,S,S,MATCH,
neha.verma10@email.com,Event Attendance Time,1:00 PM - 4:00 PM,1:00 PM - 4:00 PM,MATCH,
rohan.jain11@email.com,Email,rohan.jain11@email.com,rohan.jain11@email.com,MATCH,
rohan.jain11@email.com,First Name,Rohan,Rohan,MATCH,
rohan.jain11@email.com,Last Name,Jain,Jain,MATCH,
rohan.jain11@email.com,Email ID,rohan.jain11@email.com,rohan.jain11@email.com,MATCH,
rohan.jain11@email.com,Phone Number,9949183823,9949183823,MATCH,
rohan.jain11@email.com,Preferred Food,Vegan,Vegan,MATCH,
rohan.jain11@email.com,T-Shirt Size,M,M,MATCH,
rohan.jain11@email.com,Event Attendance Time,8:00 AM - 12:00 PM,8:00 AM - 12:00 PM,MATCH,
ananya.bhat12@email.com,Email,ananya.bhat12@email.com,ananya.bhat12@email.com,MATCH,
ananya.bhat12@email.com,First Name,Ananya,Ananya,MATCH,
ananya.bhat12@email.com,Last Name,Bhat,Bhat,MATCH,
ananya.bhat12@email.com,Email ID,ananya.bhat12@email.com,ananya.bhat12@email.com,MATCH,
ananya.bhat12@email.com,Phone Number,9790498636,9790498636,MATCH,
ananya.bhat12@email.com,Preferred Food,Vegan,Vegan,MATCH,
ananya.bhat12@email.com,T-Shirt Size,M,M,MATCH,
ananya.bhat12@email.com,Event Attendance Time,1:00 PM - 4:00 PM,1:00 PM - 4:00 PM,MATCH,
